task_id,variation_id,search_phrase,top_10,target_id,score
2,9," ""High-quality, bulk deals on popular brands""","['B08P5YB15Y', 'B07YF29SLL', 'B00DTWE2J6', 'B003POTKZE', 'B07ZPRMLYV', 'B07MLZ91WK', 'B0933KJ44P', 'B01N7GA5LZ', 'B07L4JFR3Q', 'B08C9YRC31']",B08X4DDXXY,0.0
3,0," ""Highly-rated pain relief powder, top brand, many reviews""","['B0BXN6Z8T7', 'B092WZXLCB', 'B0BNP2X4N7', 'B0C2ZQX7XL', 'B00T3IV5WC', 'B09DSYB5QZ', 'B07SRR6FKX', 'B01MFGJWDY', 'B0CCRRTTZK', 'B00KHKX9P6']",B092WZXLCB,0.9
3,1," ""Top-rated, fast-acting pain relief powder, quality brand""","['B092WZXLCB', 'B0815J2P72', 'B0012K1AC4', 'B01HI7WON8', 'B07WDK2Z85', 'B08WHLTGZN', 'B09D9TJKJ8', 'B0BL963NJK', 'B0C4C69YS6', 'B002J9HBXE']",B092WZXLCB,1.0
3,2," ""Highly-rated, fast-acting pain relief powder""","['B092WZXLCB', 'B0815J2P72', 'B01HI7WON8', 'B0012K1AC4', 'B07WDK2Z85', 'B09D9TJKJ8', 'B08WHLTGZN', 'B003LZQ8HA', 'B09LJ28N4F', 'B0C4C69YS6']",B092WZXLCB,1.0
3,3," ""Top-rated, fast-acting pain relief powder, quality and price""","['B092WZXLCB', 'B0815J2P72', 'B0012K1AC4', 'B01HI7WON8', 'B07WDK2Z85', 'B09D9TJKJ8', 'B08WHLTGZN', 'B003LZQ8HA', 'B0C4C69YS6', 'B0BL963NJK']",B092WZXLCB,1.0
3,4," ""Top-rated, fast-acting pain relief powder, quality brand""","['B092WZXLCB', 'B0815J2P72', 'B0012K1AC4', 'B01HI7WON8', 'B07WDK2Z85', 'B08WHLTGZN', 'B09D9TJKJ8', 'B0BL963NJK', 'B0C4C69YS6', 'B002J9HBXE']",B092WZXLCB,1.0
3,5," ""Top-rated, fast-acting pain relief powder, quality brand""","['B092WZXLCB', 'B0815J2P72', 'B0012K1AC4', 'B01HI7WON8', 'B07WDK2Z85', 'B08WHLTGZN', 'B09D9TJKJ8', 'B0BL963NJK', 'B0C4C69YS6', 'B002J9HBXE']",B092WZXLCB,1.0
3,6," ""Top-rated, fast-acting pain relief powder, quality & price balance""","['B092WZXLCB', 'B0815J2P72', 'B0012K1AC4', 'B08BN1SLBV', 'B01HI7WON8', 'B07WDK2Z85', 'B09D9TJKJ8', 'B08WHLTGZN', 'B003LZQ8HA', 'B0C4C69YS6']",B092WZXLCB,1.0
3,7," ""Highly-rated, fast-acting pain relief powder, reputable brand""","['B092WZXLCB', 'B0815J2P72', 'B01HI7WON8', 'B0012K1AC4', 'B07WDK2Z85', 'B08WHLTGZN', 'B09D9TJKJ8', 'B0BL963NJK', 'B0C4C69YS6', 'B002J9HBXE']",B092WZXLCB,1.0
3,8," ""Top-rated, fast-acting pain relief powder reviews""","['B092WZXLCB', 'B0815J2P72', 'B01HI7WON8', 'B0012K1AC4', 'B07WDK2Z85', 'B09D9TJKJ8', 'B08WHLTGZN', 'B003LZQ8HA', 'B0C4C69YS6', 'B0BL963NJK']",B092WZXLCB,1.0
3,9," ""Highly-rated, fast-acting pain relief powder""","['B092WZXLCB', 'B0815J2P72', 'B01HI7WON8', 'B0012K1AC4', 'B07WDK2Z85', 'B09D9TJKJ8', 'B08WHLTGZN', 'B003LZQ8HA', 'B09LJ28N4F', 'B0C4C69YS6']",B092WZXLCB,1.0
4,0," ""Top-rated men's multivitamin with immune support and B vitamins""","['B0BKRPSDZH', 'B0028AD6WO', 'B096YMB235', 'B084PH9NSX', 'B0BXVTGJKV', 'B07WS3YSTP', 'B0065IH4QY', 'B0C5S1LKNB', 'B007L0DPE0', 'B07KPB55M5']",B0BKRPSDZH,1.0
4,1," ""Reputable brand, high-quality multivitamin for men, easy-swallow, immune support, energy boost""","['B0BKRPSDZH', 'B096YMB235', 'B01HWVAVVM', 'B09TB36JSQ', 'B0028AD6WO', 'B084RNF4HD', 'B01LONI8SM', 'B007L0DPE0', 'B07ZPY97PM', 'B004XSOJ02']",B0BKRPSDZH,1.0
4,2," ""Reputable brand, high-rated multivitamin, easy-swallow tablets, immune support, B vitamins""","['B0BKRPSDZH', 'B07KPB55M5', 'B0028AD6WO', 'B004XSOJ02', 'B007L0DPE0', 'B0B8XT9VH4', 'B0065IH4QY', 'B0C5S1LKNB', 'B084PH9NSX', 'B013U98YLE']",B0BKRPSDZH,1.0
4,3," ""Reputable brand men's multivitamin, easy-swallow, immune support, energy boost""","['B0BKRPSDZH', 'B096YMB235', 'B0028AD6WO', 'B09TB36JSQ', 'B01LONI8SM', 'B01HWVAVVM', 'B084RNF4HD', 'B004XSOJ02', 'B084PH9NSX', 'B07MXR8YD6']",B0BKRPSDZH,1.0
4,4," ""Reputable brand men's multivitamin, easy-swallow, immune support, energy B vitamins""","['B0BKRPSDZH', 'B0028AD6WO', 'B084RNF4HD', 'B07KPB55M5', 'B096YMB235', 'B004XSOJ02', 'B0BXVTGJKV', 'B007L0DPE0', 'B07WS3YSTP', 'B084PH9NSX']",B0BKRPSDZH,1.0
4,5," ""Top-rated, easy-swallow men's multivitamins with B vitamins for energy""","['B0BKRPSDZH', 'B084RNF4HD', 'B0028AD6WO', 'B07KPB55M5', 'B013U98YLE', 'B004XSOJ02', 'B0BXVTGJKV', 'B0065IH4QY', 'B096YMB235', 'B07WS3YSTP']",B0BKRPSDZH,1.0
4,6," ""Top-rated men's multivitamin with B vitamins and immune support""","['B0BKRPSDZH', 'B0028AD6WO', 'B096YMB235', 'B084PH9NSX', 'B0BXVTGJKV', 'B07WS3YSTP', 'B0065IH4QY', 'B0C5S1LKNB', 'B007L0DPE0', 'B07KPB55M5']",B0BKRPSDZH,1.0
4,7," ""Quality men's multivitamin, easy-swallow, immune support, B vitamins energy""","['B0BKRPSDZH', 'B0028AD6WO', 'B084RNF4HD', 'B07KPB55M5', 'B004XSOJ02', 'B096YMB235', 'B007L0DPE0', 'B0BXVTGJKV', 'B07WS3YSTP', 'B084PH9NSX']",B0BKRPSDZH,1.0
4,8," ""Reputable brand, high-quality men's multivitamin, easy-to-swallow, energy boost""","['B01HWVAVVM', 'B084RNF4HD', 'B0BKRPSDZH', 'B096YMB235', 'B0028AD6WO', 'B09TB36JSQ', 'B013U98YLE', 'B07ZPY97PM', 'B0033ZFIGA', 'B01LONI8SM']",B0BKRPSDZH,0.8
4,9," ""Top-rated men's multivitamins with B vitamins and immune support""","['B0BKRPSDZH', 'B0028AD6WO', 'B096YMB235', 'B084PH9NSX', 'B0BXVTGJKV', 'B07WS3YSTP', 'B0065IH4QY', 'B0C5S1LKNB', 'B007L0DPE0', 'B07KPB55M5']",B0BKRPSDZH,1.0
5,0," ""Top-rated, durable USB-C to HDMI adapter for 4K, reputable brands""","['B0BN2WBTS8', 'B07MW7YSDZ', 'B07JMQ6S49', 'B07ZV649DV', 'B0192LPK5M', 'B08SWCH5X8', 'B0854C75Z9', 'B0C58P2MHB', 'B07X5KSBNJ', 'B07VPYJV8V']",B0BN2WBTS8,1.0
5,1," ""Top-rated, durable USB-C adapter for 4K, reputable brand""","['B07VPYJV8V', 'B0BN2WBTS8', 'B08SWCH5X8', 'B07MW7YSDZ', 'B07JMQ6S49', 'B0192LPK5M', 'B07ZV649DV', 'B0C58P2MHB', 'B07X5KSBNJ', 'B0B7123JGT']",B0BN2WBTS8,0.9
5,2," ""Top-rated, durable USB-C adapter for 4K, reputable brand""","['B07VPYJV8V', 'B0BN2WBTS8', 'B08SWCH5X8', 'B07MW7YSDZ', 'B07JMQ6S49', 'B0192LPK5M', 'B07ZV649DV', 'B0C58P2MHB', 'B07X5KSBNJ', 'B0B7123JGT']",B0BN2WBTS8,0.9
5,3," ""Durable, top-rated USB-C adapter for 4K, trusted brand recommended""","['B08SWCH5X8', 'B07VPYJV8V', 'B0BN2WBTS8', 'B07MW7YSDZ', 'B0854C75Z9', 'B07XCBVQRT', 'B07JMQ6S49', 'B0192LPK5M', 'B07ZV649DV', 'B0C58P2MHB']",B0BN2WBTS8,0.8
5,4," ""Durable, high-rated USB-C adapter for 4K, quality concerns""","['B0BN2WBTS8', 'B08SWCH5X8', 'B07JMQ6S49', 'B0192LPK5M', 'B09PCX52KZ', 'B07X5KSBNJ', 'B00IU6R2AW', 'B07ZV649DV', 'B07MW7YSDZ', 'B0B7123JGT']",B0BN2WBTS8,1.0
5,5," ""Top-rated, durable USB-C to HDMI adapter, 4K support, affordable""","['B07MW7YSDZ', 'B07JMQ6S49', 'B0BN2WBTS8', 'B07X5KSBNJ', 'B0C58P2MHB', 'B07ZV649DV', 'B08SWCH5X8', 'B07VPYJV8V', 'B07KB7NKR9', 'B0854C75Z9']",B0BN2WBTS8,0.8
5,6," ""Top-rated, durable USB-C adapter for 4K, quality brands""","['B08SWCH5X8', 'B0BN2WBTS8', 'B07VPYJV8V', 'B07ZV649DV', 'B07MW7YSDZ', 'B07JMQ6S49', 'B0192LPK5M', 'B00IU6R2AW', 'B0C58P2MHB', 'B07X5KSBNJ']",B0BN2WBTS8,0.9
5,7," ""Top-rated, durable USB-C adapter for 4K, trusted brand""","['B07VPYJV8V', 'B0BN2WBTS8', 'B08SWCH5X8', 'B07MW7YSDZ', 'B07JMQ6S49', 'B0192LPK5M', 'B07ZV649DV', 'B0C58P2MHB', 'B07X5KSBNJ', 'B0B7123JGT']",B0BN2WBTS8,0.9
5,8," ""High-quality, durable USB-C to HDMI adapter, top brand, 4K support""","['B08SWCH5X8', 'B07JMQ6S49', 'B0BN2WBTS8', 'B00IU6R2AW', 'B07ZV649DV', 'B07MW7YSDZ', 'B07X5KSBNJ', 'B07KB7NKR9', 'B0B7123JGT', 'B0854C75Z9']",B0BN2WBTS8,0.8
5,9," ""Top-rated, durable USB-C adapter for 4K, quality brand""","['B08SWCH5X8', 'B0BN2WBTS8', 'B07VPYJV8V', 'B07ZV649DV', 'B07MW7YSDZ', 'B07JMQ6S49', 'B0192LPK5M', 'B00IU6R2AW', 'B0C58P2MHB', 'B07X5KSBNJ']",B0BN2WBTS8,0.9
6,0," ""Propet men's shoes, high ratings, budget-friendly""","['B00GPJHGBQ', 'B000BVZYPE', 'B0749P3XX5', 'B000BW5ERG', 'B000BVZYYA', 'B0018E85AY', 'B093QX2YDZ', 'B00C1WXFTS', 'B07C876KD2', 'B0952VGLM2']",B0749P3XX5,0.8
6,1," ""Highly-rated, affordable Propet shoes for active men""","['B000BVZYYA', 'B000BVZYPE', 'B0749P3XX5', 'B000BW5ERG', 'B00GPJHGBQ', 'B0018E85AY', 'B093QX2YDZ', 'B00C1WXFTS', 'B07C876KD2', 'B0952VGLM2']",B0749P3XX5,0.8
6,2," ""Comfortable, well-rated Propet men's shoes for daily walks""","['B0749P3XX5', 'B000BVZYPE', 'B000BW5ERG', 'B07C876KD2', 'B000BVZYYA', 'B00GPJHGBQ', 'B0018E85AY', 'B093QX2YDZ', 'B00C1WXFTS', 'B0952VGLM2']",B0749P3XX5,1.0
6,3," ""Top-rated, functional Propet men's shoes, great value""","['B0749P3XX5', 'B093QX2YDZ', 'B07C876KD2', 'B000BVZYPE', 'B000BW5ERG', 'B00GPJHGBQ', 'B000BVZYYA', 'B0018E85AY', 'B00C1WXFTS', 'B0952VGLM2']",B0749P3XX5,1.0
6,4," ""Top-rated, budget-friendly Propet men's walking shoes""","['B0749P3XX5', 'B093QX2YDZ', 'B07C876KD2', 'B000BVZYPE', 'B000BVZYYA', 'B00GPJHGBQ', 'B000BW5ERG', 'B0018E85AY', 'B00C1WXFTS', 'B0952VGLM2']",B0749P3XX5,1.0
6,5," ""Highly rated, affordable Propet men's shoes for walking""","['B000BVZYPE', 'B0749P3XX5', 'B000BVZYYA', 'B00GPJHGBQ', 'B000BW5ERG', 'B0018E85AY', 'B07C876KD2', 'B093QX2YDZ', 'B00C1WXFTS', 'B0952VGLM2']",B0749P3XX5,0.9
6,6," ""Highly-rated, comfortable men's shoes for active lifestyle""","['B0BKLKLDSX', 'B00814U07U', 'B00814U0ZW', 'B07VSW6GQB', 'B089XCM1R8', 'B07Q56HFMC', 'B0BN4S9LH2', 'B08QKPXX16', 'B07JJPBLMR', 'B0C37L29D6']",B0749P3XX5,0.0
6,7," ""Comfortable, high-rated men's shoes by Propet on a budget""","['B00GPJHGBQ', 'B0749P3XX5', 'B000BVZYPE', 'B000BW5ERG', 'B0018E85AY', 'B000BVZYYA', 'B093QX2YDZ', 'B07C876KD2', 'B00C1WXFTS', 'B0952VGLM2']",B0749P3XX5,0.9
6,8," ""Highly rated, quality Propet men's shoes, budget-friendly""","['B000BVZYPE', 'B0749P3XX5', 'B000BW5ERG', 'B00GPJHGBQ', 'B000BVZYYA', 'B0018E85AY', 'B093QX2YDZ', 'B00C1WXFTS', 'B07C876KD2', 'B0952VGLM2']",B0749P3XX5,0.9
6,9," ""Highly-rated, affordable Propet men's footwear""","['B000BVZYPE', 'B0749P3XX5', 'B000BW5ERG', 'B00GPJHGBQ', 'B093QX2YDZ', 'B000BVZYYA', 'B0018E85AY', 'B00C1WXFTS', 'B07C876KD2', 'B0BKLKLDSX']",B0749P3XX5,0.9
7,0," ""Top-rated, sturdy step stools from solid brands, green preferred.""","['B06WD5JKTQ', 'B00HSR1B9W', 'B09HWVSPYF', 'B097M7MT3D', 'B01LZ0VCQD', 'B01M1ANK5A', 'B01H5UPV5Q', 'B092ZPG78W', 'B09CK6QXGK', 'B081NX33W8']",B09HWVSPYF,0.8
7,1," ""Highly-rated, durable green step stool for kitchen use""","['B06WD5JKTQ', 'B09HWVSPYF', 'B0BQYR4QDM', 'B01H5UPV5Q', 'B092ZPG78W', 'B088BNH2MQ', 'B086GBS8K5', 'B08HSLTT17', 'B01LZ0VCQD', 'B07JNCL45T']",B09HWVSPYF,0.9
7,2," ""Top-rated, sturdy step stools from reputable brands, green preferred.""","['B06WD5JKTQ', 'B00HSR1B9W', 'B09HWVSPYF', 'B01LZ0VCQD', 'B01M1ANK5A', 'B01H5UPV5Q', 'B092ZPG78W', 'B09CK6QXGK', 'B081NX33W8', 'B08ZH4YVSR']",B09HWVSPYF,0.8
7,3," ""Sturdy, highly-rated step stool for quality and comfort, green preferred.""","['B09HWVSPYF', 'B06WD5JKTQ', 'B00HSR1B9W', 'B01LZ0VCQD', 'B01M1ANK5A', 'B01H5UPV5Q', 'B092ZPG78W', 'B07VB8G67P', 'B097M7MT3D', 'B0BQYR4QDM']",B09HWVSPYF,1.0
7,4," ""Sturdy, highly-rated step stool, preferably green, quality brand""","['B09HWVSPYF', 'B06WD5JKTQ', 'B01H5UPV5Q', 'B092ZPG78W', 'B01LZ0VCQD', 'B00HSR1B9W', 'B097M7MT3D', 'B01M1ANK5A', 'B09CK6QXGK', 'B09JRSVMP2']",B09HWVSPYF,1.0
7,5," ""Sturdy, highly-rated step stools, preferably green, from good brands""","['B06WD5JKTQ', 'B09HWVSPYF', 'B01LZ0VCQD', 'B07VB8G67P', 'B01M1ANK5A', 'B00HSR1B9W', 'B01H5UPV5Q', 'B092ZPG78W', 'B09CK6QXGK', 'B081NX33W8']",B09HWVSPYF,0.9
7,6," ""Quality, sturdy step stool with good ratings, preferably green.""","['B09HWVSPYF', 'B06WD5JKTQ', 'B01LZ0VCQD', 'B01M1ANK5A', 'B01H5UPV5Q', 'B00HSR1B9W', 'B092ZPG78W', 'B097M7MT3D', 'B09CK6QXGK', 'B09JRSVMP2']",B09HWVSPYF,1.0
7,7," ""Highly-rated, sturdy step stools from trusted brands""","['B092ZPG78W', 'B09CK6QXGK', 'B06WD5JKTQ', 'B01LZ0VCQD', 'B081NX33W8', 'B097M7MT3D', 'B01M1ANK5A', 'B09HWVSPYF', 'B0BMFZT725', 'B07VB8G67P']",B09HWVSPYF,0.30000000000000004
7,8," ""Sturdy, well-rated step stools with excellent quality and fit, green preferred.""","['B06WD5JKTQ', 'B09HWVSPYF', 'B01H5UPV5Q', 'B00HSR1B9W', 'B092ZPG78W', 'B09JRSVMP2', 'B01LZ0VCQD', 'B097M7MT3D', 'B01M1ANK5A', 'B08ZH4YVSR']",B09HWVSPYF,0.9
7,9," ""Sturdy, highly-rated step stool with good brand reputation, green preferred.""","['B06WD5JKTQ', 'B09HWVSPYF', 'B01LZ0VCQD', 'B01M1ANK5A', 'B07VB8G67P', 'B092ZPG78W', 'B00HSR1B9W', 'B097M7MT3D', 'B01H5UPV5Q', 'B09CK6QXGK']",B09HWVSPYF,0.9
8,0," ""Highly-rated, quality metal frame round sunglasses with UV protection""","['B0C4682SHT', 'B07Q1JKZG9', 'B0BTBSPW3X', 'B0BG3ZSGS2', 'B07DHF9B9G', 'B078SF1ZPW', 'B0B31R6CTB', 'B06WLLJSN7', 'B095MKR5PT', 'B07QQPRXZ9']",B0BTBSPW3X,0.8
8,1," ""Stylish, sturdy metal-frame sunglasses with UV protection, high ratings""","['B01MYN37W1', 'B086ZLDFVJ', 'B092DY7HRK', 'B09258136M', 'B015TPR44A', 'B078PZMX5H', 'B01L0AUDG4', 'B0B361BTZZ', 'B0936G9V3D', 'B07CVFT1CP']",B0BTBSPW3X,0.0
8,2," ""Stylish metal-frame sunglasses, high quality, UV protection, round lenses""","['B07QQPRXZ9', 'B092DY7HRK', 'B0BG3ZSGS2', 'B07DTH4QXF', 'B015TPR44A', 'B07Q1JKZG9', 'B09258136M', 'B06WLLJSN7', 'B07DHF9B9G', 'B086ZLDFVJ']",B0BTBSPW3X,0.0
